"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
16,16,4,1,121187,121187,16777216,18,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559178098737,4655559178591222
16,16,4,1,121187,121187,16777216,18,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",528266.000000,4655559178098737,4655559178591222
16,16,4,1,121187,121187,16777216,18,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",16393898.000000,4655559178098737,4655559178591222
16,16,4,1,121187,121187,16777216,18,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1052550.000000,4655559178098737,4655559178591222
16,16,4,1,121187,121187,16777216,18,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",16397312.000000,4655559178098737,4655559178591222
16,16,4,1,121187,121187,16777216,18,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559178098737,4655559178591222
17,17,4,1,121187,121187,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559179063067,4655559179677634
17,17,4,1,121187,121187,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",266186.000000,4655559179063067,4655559179677634
17,17,4,1,121187,121187,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",16934282.000000,4655559179063067,4655559179677634
17,17,4,1,121187,121187,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",790470.000000,4655559179063067,4655559179677634
